epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.2177,2.78187,4.64135,1.48004,6e-05,0.0001,4e-05,2e-05,2.42809,4.47594,1.73318,6.666e-05,6.666e-05,6.666e-05
2,8.17217,2.80387,4.52805,1.36782,0.00064,0.001,0.00061,0.00027,2.42325,4.40012,1.48582,0.000143,0.000143,0.000143
3,11.8174,2.72288,3.94705,1.15482,0.01189,0.08464,0.02709,0.01539,2.56914,4.27203,1.28316,0.0002178,0.0002178,0.0002178
4,15.2495,2.73002,3.24224,1.15896,0.01174,0.21099,0.15155,0.07682,2.63349,4.04606,1.20423,0.000291061,0.000291061,0.000291061
5,18.599,2.62026,2.8615,1.16056,0.98502,0.08148,0.1871,0.11782,2.66154,3.81592,1.1857,0.000362781,0.000362781,0.000362781
6,21.868,2.68187,2.71585,1.13566,0.99741,0.13333,0.20024,0.11628,2.63617,3.52976,1.15361,0.000432962,0.000432962,0.000432962
7,25.2754,2.56784,2.5529,1.11781,0.98462,0.14074,0.20376,0.11699,2.59677,3.4088,1.14055,0.000501603,0.000501603,0.000501603
8,28.2762,2.68329,2.5289,1.11412,0.97899,0.17037,0.2154,0.14274,2.68264,3.17253,1.14682,0.000568704,0.000568704,0.000568704
9,31.6571,2.66847,2.44357,1.08818,0.98508,0.18379,0.24021,0.1517,2.5853,2.95597,1.14055,0.000634265,0.000634265,0.000634265
10,35.0008,2.59519,2.24308,1.12143,0.99037,0.1926,0.25629,0.1675,2.4916,2.78518,1.13892,0.000698287,0.000698287,0.000698287
11,38.3554,2.56498,2.42455,1.10955,0.96499,0.19462,0.2582,0.15745,2.54679,2.74391,1.15013,0.000760768,0.000760768,0.000760768
12,41.2006,2.62244,2.33424,1.11691,0.96416,0.17994,0.25865,0.15196,2.62834,2.7011,1.15639,0.00082171,0.00082171,0.00082171
13,44.0417,2.72294,2.40889,1.12963,0.85738,0.18168,0.28085,0.16578,2.55983,2.52155,1.14005,0.000881112,0.000881112,0.000881112
14,46.9768,2.6665,2.24544,1.13016,0.85738,0.18168,0.28085,0.16578,2.55983,2.52155,1.14005,0.000938974,0.000938974,0.000938974
15,50.4124,2.53844,2.21824,1.13535,0.62165,0.20876,0.31104,0.1893,2.49101,2.25739,1.14666,0.000957015,0.000957015,0.000957015
16,53.835,2.62362,2.17863,1.14779,0.58234,0.26883,0.30355,0.19028,2.48413,2.06478,1.15177,0.000946016,0.000946016,0.000946016
17,57.3008,2.4912,2.05716,1.14918,0.54677,0.31764,0.31635,0.19718,2.46025,1.95268,1.14227,0.000935018,0.000935018,0.000935018
18,60.3111,2.49767,2.0653,1.1162,0.56013,0.34205,0.33677,0.20907,2.40319,1.92831,1.12143,0.000924019,0.000924019,0.000924019
19,63.1938,2.38868,2.06056,1.10703,0.60063,0.33393,0.35646,0.22126,2.36636,1.95259,1.11415,0.00091302,0.00091302,0.00091302
20,65.9534,2.40329,2.10493,1.10302,0.43302,0.329,0.36698,0.21913,2.38755,1.94671,1.1154,0.000902021,0.000902021,0.000902021
21,68.867,2.43644,2.06639,1.07482,0.40652,0.32999,0.36735,0.22329,2.3948,1.88253,1.11813,0.000891022,0.000891022,0.000891022
22,71.7851,2.37281,2.01816,1.11718,0.40652,0.32999,0.36735,0.22329,2.3948,1.88253,1.11813,0.000880023,0.000880023,0.000880023
23,74.6896,2.43057,1.93097,1.10214,0.47885,0.35631,0.37882,0.2363,2.34737,1.80433,1.11764,0.000869024,0.000869024,0.000869024
24,77.6037,2.36655,1.92393,1.06831,0.45636,0.37492,0.38241,0.23798,2.35095,1.79218,1.10701,0.000858025,0.000858025,0.000858025
25,80.6351,2.48408,1.90442,1.08466,0.45448,0.37754,0.38272,0.23522,2.37027,1.76951,1.09594,0.000847026,0.000847026,0.000847026
26,84.0536,2.40265,1.92979,1.07887,0.49504,0.38844,0.3883,0.24463,2.35884,1.74207,1.09281,0.000836027,0.000836027,0.000836027
27,87.0728,2.35815,1.92597,1.10613,0.48047,0.41124,0.39295,0.24419,2.36477,1.74998,1.08981,0.000825029,0.000825029,0.000825029
28,90.3971,2.39425,1.9628,1.10192,0.46696,0.4122,0.38632,0.2307,2.41607,1.78737,1.0934,0.00081403,0.00081403,0.00081403
29,93.3873,2.41063,1.86036,1.06348,0.47787,0.38197,0.38364,0.22474,2.39993,1.80964,1.0942,0.000803031,0.000803031,0.000803031
30,96.81,2.41367,1.87913,1.0629,0.47787,0.38197,0.38364,0.22474,2.39993,1.80964,1.0942,0.000792032,0.000792032,0.000792032
31,99.7404,2.35687,1.86313,1.06584,0.48361,0.40794,0.39766,0.23399,2.33615,1.75152,1.09955,0.000781033,0.000781033,0.000781033
32,103.21,2.29512,1.79076,1.07606,0.47673,0.43497,0.40694,0.24212,2.31042,1.70021,1.10269,0.000770034,0.000770034,0.000770034
33,106.041,2.33214,1.75554,1.08134,0.50549,0.43205,0.41955,0.24927,2.31099,1.6879,1.10419,0.000759035,0.000759035,0.000759035
34,108.977,2.32685,1.76633,1.08168,0.52186,0.45514,0.42873,0.25653,2.32967,1.68545,1.09782,0.000748036,0.000748036,0.000748036
35,112.438,2.26868,1.79246,1.05445,0.51767,0.4501,0.42153,0.2514,2.3584,1.69392,1.09004,0.000737037,0.000737037,0.000737037
36,115.338,2.31692,1.7968,1.06499,0.5242,0.44495,0.42171,0.25202,2.33327,1.67998,1.08287,0.000726038,0.000726038,0.000726038
37,118.733,2.37194,1.81651,1.06232,0.50704,0.44683,0.41744,0.25877,2.31837,1.66862,1.0803,0.00071504,0.00071504,0.00071504
38,121.648,2.24206,1.76973,1.02303,0.50704,0.44683,0.41744,0.25877,2.31837,1.66862,1.0803,0.000704041,0.000704041,0.000704041
39,124.616,2.28362,1.7845,1.05736,0.49357,0.44661,0.42381,0.25908,2.34347,1.66225,1.07902,0.000693042,0.000693042,0.000693042
40,128.055,2.32305,1.72489,1.05247,0.48611,0.45023,0.426,0.25406,2.31465,1.64385,1.07782,0.000682043,0.000682043,0.000682043
41,131.32,2.22725,1.70235,1.05486,0.49096,0.45144,0.42721,0.26225,2.29239,1.64528,1.07827,0.000671044,0.000671044,0.000671044
42,134.259,2.23197,1.74928,1.04561,0.4799,0.45571,0.42565,0.2596,2.27474,1.64392,1.07639,0.000660045,0.000660045,0.000660045
43,137.1,2.20917,1.73494,1.05828,0.5155,0.42935,0.42162,0.25568,2.27062,1.65193,1.07031,0.000649046,0.000649046,0.000649046
44,139.876,2.25728,1.74812,1.06591,0.52437,0.43482,0.42861,0.25497,2.27196,1.64164,1.06959,0.000638047,0.000638047,0.000638047
45,142.653,2.27617,1.73684,1.05912,0.51717,0.4439,0.42641,0.25417,2.28626,1.63422,1.07421,0.000627048,0.000627048,0.000627048
46,145.506,2.26155,1.70745,1.04712,0.51717,0.4439,0.42641,0.25417,2.28626,1.63422,1.07421,0.000616049,0.000616049,0.000616049
47,148.417,2.30398,1.70688,1.05162,0.50987,0.44795,0.42822,0.25726,2.28904,1.6107,1.07556,0.000605051,0.000605051,0.000605051
